Market,Marketing,Utility,Authentication,Authentication-International,Service
Argentina,4.5293,2.4918,2.6888,,
Brazil,4.5808,0.5863,2.3087,,
Chile,6.5135,1.4654,3.8642,,
Colombia,0.9161,0.0147,0.5607,,
Egypt,7.8651,0.3812,0.3812,6.1088,
France,10.4984,2.1994,5.0674,,
Germany,10.0073,4.0322,5.6308,,
India,0.7846,0.115,0.115,2.3,
Indonesia,3.0111,1.4653,2.1979,9.9638,
Israel,2.5871,0.3885,1.2368,,
Italy,5.0614,2.1974,2.7687,,
Malaysia,6.3037,1.0262,1.0262,3.0639,
Mexico,3.1938,0.7325,1.7537,,
Netherlands,11.7078,3.6656,5.2784,,
Nigeria,3.7851,0.4915,0.4915,7.3233,
Pakistan,3.4683,0.396,0.396,9.4171,
Peru,5.1536,1.4662,2.7626,,
Russia,5.8767,2.9311,3.1457,,
Saudi Arabia,3.3292,0.842,0.842,4.3871,
South Africa,2.7821,0.5579,0.5579,2.0554,
Spain,4.5044,1.4648,2.5049,,
Turkey,0.7989,0.3884,0.6101,,
United Arab Emirates,2.8164,1.1509,1.1509,3.7342,
United Kingdom,3.8747,1.6122,2.6249,,
North America,1.8313,0.293,0.9889,,
Rest of Africa,1.6497,0.293,1.0558,,
Rest of Asia Pacific,5.3664,1.151,3.1124,,
Rest of Central & Eastern Europe,6.2997,2.5858,4.0809,,
Rest of Latin America,5.4207,0.8278,3.2581,,
Rest of Middle East,2.4993,1.1507,1.303,,
Rest of Western Europe,4.3378,2.1982,2.7697,,
Other,4.4248,0.5641,2.2292,,
